id,sentence,difficulty
4358,Je me souviens d'une anecdote en particulier.,A2
1856,Il joue au football depuis cinq ans.,A1
1388,Nous avons voulu visiter le musée et nous avons dû payer l'entrée.,B1
3719,Un technicien fait le nécessaire et vous rappelle dans une heure environ.,A1
2386,"Ici, dans le palais, l'air était lourd et étouffant, mais, dans la forêt, le vent soufflait librement et le soleil, de ses caressants doigts d'or, écartait les feuilles frémissantes.",C1
3236,Puis je vais passer à la poste pour envoyer un colis à ma grand-mère,A2
1540,"Comme au judaïsme, il lui oppose l'idée d'une ""jouissance sanctifiée"".",C2
1217,Je ne te crois pas.,A1
2681,"Bref, la démocratie a les tempes blanchies.",B2
2993,Quel âge as-tu ?,A1
1191,Je me réjouis de te revoir pendant les vacances.,A2
1542,Avez-vous quelque chose à déclarer ?,A1
3301,"Mon réveil sonne à six heures et démie, je me rendors pendant un quart d'heure et je me lève vers sept heures moins le quart",A1
3324,Je reste en famille.,A1
2539,"Selon les pronostics, de 50 à 90 % des langues parlées aujourd'hui mourront au cours de ce siècle.",C1
953,La journée est longue pour lui,A2
4330,Qu'est-ce qui contribue à ces troubles ?,B1
732,"Ellénore, rendez-vous à ma prière ; vous y trouverez quelque douceur.",C2
1156,Nous ne nous attendions pas à un tel buzz.,B1
3294,"Après avoir identifié les inconvénients de la robotisation, j'exposerai ses avantages.",B2
2982,Les bioessais effectués ont montré que les mêmes symptômes de morbidité sont observés chez les deux espèces et avec les deux métaux.,C2
2156,J'ai reçu un appel.,A2
1062,C'est même la première fois que nous voyons deux ouragans majeurs se produire au mois de novembre,A2
2616,Quelle est votre ville d'origine ?,A1
1167,"Le bébé pleure depuis des heures, il a faim.",A1
3222,Les Inuits pourraient porter plainte contre les Etats-Unis.,B2
3636,Je me suis creusé la tête sans relache durant des heures pour résoudre ce casse-tête chinois.,C1
2938,Elle apparaît ainsi comme une valeur centrale et même prioritaire.,B2
3140,"Il décrivait aussi les longues arènes entourées de gradins où s'exerçaient les jeunes hommes, le labeur patient par lequel ceux-ci se préparaient aux jeux, et les soins incessants qui, après de longues années, leur méritaient les odes des poètes, les acclamations de la foule et les honneurs des cités.",B2
143,"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",C1
3577,Conservation ou exploitation ?,B2
2782,On demontre des formules d'addition pour cette section theta qui generalisent en particulier la formule trisecante de fay.,C2
717,"Il savait que le souvenir même du piano faussait encore le plan dans lequel il voyait les choses de la musique, que le champ ouvert au musicien n'est pas un clavier mesquin de sept notes, mais un clavier incommensurable, encore presque tout entier inconnu, où seulement çà et là, séparées par d'épaisses ténèbres inexplorées, quelques-unes des millions de touches de tendresse, de passion, de courage, de sérénité, qui le composent, chacune aussi différente des autres qu'un univers d'un autre univers, ont été découvertes par quelques grands artistes qui nous rendent le service, en éveillant en nous le correspondant du thème qu'ils ont trouvé, de nous montrer quelle richesse, quelle variété, cache à notre insu cette grande nuit impénétrée et décourageante de notre âme que nous prenons pour du vide et pour du néant.",C2
1819,"Oui, je vais le faire !",A2
2502,"Car sans incertitude nous serions cantonnés à une vie morne, dont la fresque ne serait teinte que de dégradés de gris, en absence complète de couleurs",C2
4171,"Députés et membres de la Convention ont ainsi été conviés par le gouvernement à cinq réunions pour ""présenter les orientations retenues"".",C1
395,L'âme mobile de la comtesse embrassa avec enthousiasme l'idée de ce nouveau genre de vie ; il y avait vingt ans qu'elle n'avait habité ce château vénérable s'élevant majestueusement au milieu des vieux châtaigniers plantés du temps des Sforce.,C1
4645,"J'ai fait un aprèm chill, en mode lecture, chat et canapé.",C1
1365,"Lucie entama d'un air brave sa cavatine en sol majeur; elle se plaignait d'amour, elle demandait des ailes.",C2
4403,"Les lois de programmation mentionnées à l'antépénultième alinéa de l'article 34 de la Constitution ont pour objet de déterminer ""les objectifs de l'action de l'État"".",C2
595,"À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfin ce mode de transport, notamment grâce à l'indemnité kilométrique : ce dispositif autorise l'employeur à dédommager ses salariés se rendant au travail à vélo (environ 0, 25 euro par kilomètre parcouru).",B2
3952,L'île était assez grande.,A1
2914,"Elle les renvoie à leur cinquantaine, dont ils ne veulent pas entendre parler, eux qui se sentent en pleine maturité, surtout s'ils ont réussi socialement.",C1
2326,"Machine intelligente (capable d'apprentissage), utilisée déjà dans le contexte des loisirs, de l'éducation, de la médecine, de la police, de l'armée, de la conquête spatiale, etc., le robot est voué à exécuter toutes les tâches pour lesquelles on voudra, ou pourra, le programmer.",C2
3766,"Au moment de payer, notre petit garçon est toujours volontaire.",A2
3440,"Curieusement, l'actuel président du groupe Radio-France ne se souvient pas du débat après l'arrivée de Monsieur : ""Son arrivée n'a pas été critiquée, car il était évident que Monsieur avait beaucoup de présence à la radio.",B1
3851,"Le soir, pour me détendre, j'écoute de la musique ou je regarde un peu la télé",A1
4132,Une revue avec laquelle il fait bon se poser,A2
4662,Chacun a duré un an et un jour.,B1
