id,sentence,difficulty,augmented_sentence
804,"""La batterie est en dessous du niveau nécessaire pour faire fonctionner l'ordinateur central"", a dit M. Ulamec.",B1,"['»La batterie sera au dessous du plafond demandé pour faire marcher l\'ordinateur central"", a déclaré M. U Cc.']"
4099,Ils ont déménagé car sa femme a été mutée à Paris.,B1,['Tous ont déménagé : sa femme a été professeurtée à Miami.']
3113,"Je lui écrivisse la suppliai de m'accorder une dernière entrevue ; je lui peignis en termes déchirants mon désespoir, les projets funestes que m'inspirait sa cruelle détermination.",C2,"[""e lui écriv de la salutai de m' accordée une dernière entrevue à je lui susignis en cheveux déchirants mon désespoir, la craintes funestes que m'inspirait la cruelle détermination.""]"
2293,"Observant que, à l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblée nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblée, le rapporteur a souhaité rappeler que la démarche suivie par les députés, consistait à mettre en oeuvre des solutions permettant d'optimiser la présence des femmes dans la vie politique.",C1,"[""Observant que, à l'exception du changement de format de scrutin pour les territoires dont la population est comprise entre 2 000 a 3 500 habitants, le texte issu des travaux de l'Assemblée nationale ayant recueilli une approbation presque unanime de par les élus de cette assemblée, le rapporteur a souhaité rappeler que chaque démarche suivie par les députés, consistait à mettre en commun des politiques permettant d' encourager la présence des femmes dans la vie politique.""]"
3862,"Parce que la philosophie se trouve de plus en plus mobilisée en étendard face à un religieux invasif ou agressif, et parce qu'elle prend aujourd'hui les traits d'une quasi-religion laïque, un ouvrage comme celui de Pierre Bouretz brouille des pistes trop tracées.",C1,"[""Parce que la philosophie se trouve de plus en plus malmenée en parfaitétendard face est un religieux invas concret devenu agressif, et parce qu'elle prend aujourd'hui les traits d'une quasi-religion réactionnaire, un propos comme ceux de Pierre Bouretz brouille des pistes auparavant délaissées.""]"
3270,Pas un villageois n'y échappe.,A2,"[""Même le policier n'y échappe.""]"
3163,Le chien est le meilleur ami de l'homme.,A1,"[""Seul hasard est le véritable ami des l'homme.""]"
1455,"À 40 ans, il est usé",B2,"['À 72 ans, Bernard est radi']"
3941,"Elle éclaire, cette lueur, les chemins crépusculaires qui mènent vers la délivrance.",C1,"['Elle éclaire, cette lueur, les chemins familierpu par des tendu me aux la délivrance.']"
4733,"On les voit arriver de leur pas alenti, suçant de leurs lèvres crispées la courte pipe de terre brune, dont ils secouent la cendre sur leur pouce",C2,"['On les observe avancer de leurs pas troplenteux, suçant de quelques lèvres crispées la dixième partie sa terre brune, dont se secouent la cendre sur leur pouce']"
